source_name,matched_shop_id,matched_shop_name,source_file,target_path,result,error_message,notes
345._studio,tzm0061,345._studio,345._studio.jpg,pics/logo/tzm0061.webp,imported,,
727 Studio 韓國代購,tzm0037,727 Studio,727 Studio 韓國代購.jpg,pics/logo/tzm0037.webp,imported,,
AM Hair Salon,tzm0030,AM hair salon,AM Hair Salon.jpg,pics/logo/tzm0030.webp,imported,,
Amy美睫公主,tzm0053,Amy美睫公主,Amy美睫公主.jpg,pics/logo/tzm0053.webp,imported,,
Beryl 百麗兒美睫．刺青．髮際線紋綉,tzm0033,百麗兒美睫·刺青·髮際線紋綉,Beryl 百麗兒美睫．刺青．髮際線紋綉.jpg,pics/logo/tzm0033.webp,imported,,
Boorr啵耳星球掏耳專門店,tzm0024,Boorr啵耳星球_掏耳專門店,Boorr啵耳星球掏耳專門店.jpg,pics/logo/tzm0024.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
Boorr啵耳星球掏耳專門店,tzm0070,啵耳星球掏耳專門店,Boorr啵耳星球掏耳專門店.jpg,pics/logo/tzm0070.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
Café 32,tzm0027,Café32,Café 32.jpg,pics/logo/tzm0027.webp,imported,,
Chill time studio艾比撥經,tzm0052,Chill time studio 艾比撥經,Chill time studio艾比撥經.jpg,pics/logo/tzm0052.webp,imported,,
E-Dr.環境博士,tzm0026,環境博士科技有限公司,E-Dr.環境博士.jpg,pics/logo/tzm0026.webp,imported,,
JJ 手作美睫,tzm0041,JJ手作美睫,JJ 手作美睫.jpg,pics/logo/tzm0041.webp,imported,,
lady's服飾店,tzm0054,Lady’s 服飾店,lady's服飾店.jpg,pics/logo/tzm0054.webp,imported,,
REP Fitness 健身工作室,tzm0055,REP Fitness 健身工作室,REP Fitness 健身工作室.jpg,pics/logo/tzm0055.webp,imported,,
SYM龍辰機車行排氣定檢站,tzm0014,SYM龍辰機車行排氣定檢站,SYM龍辰機車行排氣定檢站.jpg,pics/logo/tzm0014.webp,imported,,
三峽角胖,tzm0003,三峽角胖金牛角苗栗直營車,三峽角胖.jpg,pics/logo/tzm0003.webp,imported,,
丘森茶室 Chosen Tea﻿ (總店),tzm0016,丘森茶室總店,丘森茶室 Chosen Tea﻿ (總店).jpg,pics/logo/tzm0016.webp,imported,,
丘森茶室後龍店,tzm0012,丘森茶室後龍店,丘森茶室後龍店.jpg,pics/logo/tzm0012.webp,imported,,
丘森茶室竹南科店,tzm0008,丘森茶室,丘森茶室竹南科店.jpg,pics/logo/tzm0008.webp,imported,,
享森活居家,tzm0001,享森活居家,享森活居家.jpg,pics/logo/tzm0001.webp,imported,,
伊集購,,,伊集購.jpg,,skipped_not_in_shops,,未對應目前 shops.json 店家，未自動匯入
儒瑜文教社,tzm0021,儒瑜文教社,儒瑜文教社.jpg,pics/logo/tzm0021.webp,imported,,
元爵味-黃燜雞米飯 竹南延平店,tzm0019,元爵味黃燜雞米飯竹南店,元爵味-黃燜雞米飯 竹南延平店.jpg,pics/logo/tzm0019.webp,imported,,
元爵味-黃燜雞米飯 頭份和平店,tzm0029,元爵味黃燜雞米飯頭份店,元爵味-黃燜雞米飯 頭份和平店.jpg,pics/logo/tzm0029.webp,imported,,
六蒜包,tzm0045,六蒜包冰果室,六蒜包.jpg,pics/logo/tzm0045.webp,imported,,
十畝園味,tzm0023,十畝園味家傳冷凍冷藏美食,十畝園味.jpg,pics/logo/tzm0023.webp,imported,,
南苑渡假莊園,tzm0042,南苑渡假莊園,南苑渡假莊園.jpg,pics/logo/tzm0042.webp,imported,,
叡視眼鏡,tzm0039,叡視眼鏡行,叡視眼鏡.jpg,pics/logo/tzm0039.webp,imported,,
吃餃嬌,tzm0004,吃餃嬌🥟手工水餃的,吃餃嬌.jpg,pics/logo/tzm0004.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
吃餃嬌,tzm0071,吃餃嬌｜手工水餃🥟,吃餃嬌.jpg,pics/logo/tzm0071.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
吉泰乾洗衣店,tzm0044,吉泰乾洗衣店,吉泰乾洗衣店.jpg,pics/logo/tzm0044.webp,imported,,
君悅眼鏡,,,君悅眼鏡.jpg,,skipped_not_in_shops,,未對應目前 shops.json 店家，未自動匯入
和牛涮頭份尚順育樂世界店,tzm0063,和牛涮頭份尚順育樂世界店,和牛涮頭份尚順育樂世界店.jpg,pics/logo/tzm0063.webp,imported,,
唯加美好,tzm0017,唯加美好｜霧眉。做臉。身體調整｜,唯加美好.jpg,pics/logo/tzm0017.webp,imported,,
城市漢堡竹南龍山店,tzm0035,城市漢堡-龍山店,城市漢堡竹南龍山店.jpg,pics/logo/tzm0035.webp,imported,,
大大寬頻,tzm0034,信和/吉元有線電視-大大寬頻-蕭鴻仁,大大寬頻.jpg,pics/logo/tzm0034.webp,imported,,
大瑋叔叔炸雞-苗栗竹南店,tzm0031,大瑋叔叔炸雞,大瑋叔叔炸雞-苗栗竹南店.jpg,pics/logo/tzm0031.webp,imported,,
天祿過山車電動麻將桌-苗栗頭份店,tzm0057,天祿電動麻將桌,天祿過山車電動麻將桌-苗栗頭份店.jpg,pics/logo/tzm0057.webp,imported,,
奧斯汀美語_苗栗照南分校,tzm0013,奧斯汀國際美語 照南分校,奧斯汀美語_苗栗照南分校.jpg,pics/logo/tzm0013.webp,imported,,
女王姬時尚美學,tzm0058,女王姬韓式皮膚管理,女王姬時尚美學.jpg,pics/logo/tzm0058.webp,imported,,
好食在團購,,,好食在團購.jpg,,skipped_not_in_shops,,未對應目前 shops.json 店家，未自動匯入
嬰泳樂園頭份店,tzm0010,嬰泳樂園頭份店,嬰泳樂園頭份店.jpg,pics/logo/tzm0010.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
